1-(0, 0, 795, 599)
2-(795, 0, 795, 599)
3-(1590, 0, 795, 599)
4-(2385, 0, 795, 599)
5-(3180, 0, 795, 599)
6-(3975, 0, 795, 599)
7-(4770, 0, 795, 599)
8-(5565, 0, 795, 599)
9-(6360, 0, 795, 599)
10-(7155, 0, 795, 599)
11-(0, 599, 795, 599)
12-(795, 599, 795, 599)
13-(1590, 599, 795, 599)
14-(2385, 599, 795, 599)
15-(3180, 599, 795, 599)
16-(3975, 599, 795, 599)
17-(4770, 599, 795, 599)
18-(5565, 599, 795, 599)
19-(6360, 599, 795, 599)
20-(7155, 599, 795, 599)
21-(0, 1198, 795, 599)
22-(795, 1198, 795, 599)
23-(1590, 1198, 795, 599)
24-(2385, 1198, 795, 599)
25-(3180, 1198, 795, 599)
26-(3975, 1198, 795, 599)
27-(4770, 1198, 795, 599)
28-(5565, 1198, 795, 599)
29-(6360, 1198, 795, 599)
30-(7155, 1198, 795, 599)
31-(0, 1797, 795, 599)
32-(795, 1797, 795, 599)
33-(1590, 1797, 795, 599)
34-(2385, 1797, 795, 599)
35-(3180, 1797, 795, 599)
36-(3975, 1797, 795, 599)
37-(4770, 1797, 795, 599)
38-(5565, 1797, 795, 599)
39-(6360, 1797, 795, 599)
40-(7155, 1797, 795, 599)
41-(0, 2396, 795, 599)
42-(795, 2396, 795, 599)
43-(1590, 2396, 795, 599)
44-(2385, 2396, 795, 599)
45-(3180, 2396, 795, 599)
46-(3975, 2396, 795, 599)
47-(4770, 2396, 795, 599)
48-(5565, 2396, 795, 599)
49-(6360, 2396, 795, 599)
50-(7155, 2396, 795, 599)
51-(0, 2995, 795, 599)
52-(795, 2995, 795, 599)
53-(1590, 2995, 795, 599)
54-(2385, 2995, 795, 599)
55-(3180, 2995, 795, 599)
56-(3975, 2995, 795, 599)
57-(4770, 2995, 795, 599)
58-(5565, 2995, 795, 599)
59-(6360, 2995, 795, 599)
60-(7155, 2995, 795, 599)
61-(0, 3594, 795, 599)
62-(795, 3594, 795, 599)
63-(1590, 3594, 795, 599)
64-(2385, 3594, 795, 599)
65-(3180, 3594, 795, 599)
66-(3975, 3594, 795, 599)
67-(4770, 3594, 795, 599)
68-(5565, 3594, 795, 599)
69-(6360, 3594, 795, 599)
70-(7155, 3594, 795, 599)
71-(0, 4193, 795, 599)
72-(795, 4193, 795, 599)
73-(1590, 4193, 795, 599)
74-(2385, 4193, 795, 599)
75-(3180, 4193, 795, 599)
76-(3975, 4193, 795, 599)
77-(4770, 4193, 795, 599)
78-(5565, 4193, 795, 599)
79-(6360, 4193, 795, 599)
80-(7155, 4193, 795, 599)
81-(0, 4792, 795, 599)
82-(795, 4792, 795, 599)
83-(1590, 4792, 795, 599)
84-(2385, 4792, 795, 599)
85-(3180, 4792, 795, 599)
86-(3975, 4792, 795, 599)
87-(4770, 4792, 795, 599)
88-(5565, 4792, 795, 599)
89-(6360, 4792, 795, 599)
90-(7155, 4792, 795, 599)
