0-(0, 0, 139, 53)
1-(139, 0, 139, 53)
2-(278, 0, 139, 53)
3-(417, 0, 139, 53)
4-(556, 0, 139, 53)
5-(695, 0, 139, 53)
6-(834, 0, 139, 53)
7-(0, 53, 139, 53)
8-(139, 53, 139, 53)
9-(278, 53, 139, 53)
10-(417, 53, 139, 53)
11-(556, 53, 139, 53)
12-(695, 53, 139, 53)
13-(834, 53, 139, 53)
14-(0, 106, 139, 53)
15-(139, 106, 139, 53)
16-(278, 106, 139, 53)
17-(417, 106, 139, 53)
18-(556, 106, 139, 53)
19-(695, 106, 139, 53)
20-(834, 106, 139, 53)
21-(0, 159, 74, 37)
22-(74, 159, 55, 30)
23-(129, 159, 40, 23)
24-(169, 159, 37, 36)
25-(206, 159, 55, 71)
26-(261, 159, 46, 90)
27-(307, 159, 50, 113)
28-(357, 159, 50, 113)
29-(407, 159, 50, 113)
30-(457, 159, 50, 113)
31-(507, 159, 50, 113)
32-(557, 159, 50, 113)
33-(607, 159, 50, 113)
34-(657, 159, 50, 113)
35-(707, 159, 50, 113)
36-(757, 159, 50, 113)
37-(807, 159, 50, 113)
38-(857, 159, 50, 113)
39-(907, 159, 50, 113)
40-(957, 159, 46, 90)
41-(0, 272, 55, 71)
42-(55, 272, 37, 36)
43-(92, 272, 74, 124)
44-(166, 272, 74, 124)
45-(240, 272, 74, 83)
46-(314, 272, 74, 83)
47-(388, 272, 74, 83)
48-(462, 272, 74, 83)
49-(536, 272, 74, 83)
50-(610, 272, 74, 83)
51-(684, 272, 78, 86)
52-(762, 272, 78, 86)
53-(840, 272, 82, 85)
54-(922, 272, 82, 85)
55-(0, 396, 86, 86)
56-(86, 396, 86, 86)
57-(172, 396, 84, 83)
58-(256, 396, 84, 83)
59-(340, 396, 92, 54)
60-(432, 396, 92, 54)
61-(524, 396, 98, 28)
62-(622, 396, 98, 28)
63-(720, 396, 209, 188)
64-(0, 584, 209, 188)
65-(209, 584, 209, 188)
66-(418, 584, 209, 188)
67-(627, 584, 72, 102)
68-(699, 584, 72, 102)
69-(771, 584, 70, 121)
70-(841, 584, 70, 121)
71-(911, 584, 74, 121)
72-(0, 772, 74, 121)
73-(74, 772, 78, 122)
74-(152, 772, 78, 122)
75-(230, 772, 80, 122)
76-(310, 772, 80, 122)
77-(390, 772, 90, 122)
78-(480, 772, 90, 122)
79-(570, 772, 69, 97)
80-(639, 772, 69, 97)
81-(708, 772, 69, 97)
82-(777, 772, 69, 97)
83-(846, 772, 69, 97)
84-(915, 772, 69, 97)
85-(0, 894, 69, 97)
86-(69, 894, 69, 97)
87-(138, 894, 69, 97)
88-(207, 894, 69, 97)
89-(276, 894, 69, 97)
90-(345, 894, 69, 97)
91-(414, 894, 69, 97)
92-(483, 894, 69, 97)
93-(552, 894, 69, 97)
94-(621, 894, 69, 97)
95-(690, 894, 69, 97)
96-(759, 894, 69, 97)
97-(828, 894, 69, 97)
98-(897, 894, 69, 97)
99-(0, 991, 69, 97)
100-(69, 991, 69, 97)
101-(138, 991, 69, 97)
102-(207, 991, 69, 97)
103-(276, 991, 69, 97)
104-(345, 991, 69, 97)
105-(414, 991, 69, 97)
106-(483, 991, 69, 97)
107-(552, 991, 69, 97)
108-(621, 991, 69, 97)
109-(690, 991, 69, 97)
110-(759, 991, 69, 97)
111-(828, 991, 69, 97)
112-(897, 991, 69, 97)
113-(0, 1088, 69, 97)
114-(69, 1088, 69, 97)
115-(138, 1088, 69, 97)
116-(207, 1088, 69, 97)
117-(276, 1088, 69, 97)
118-(345, 1088, 69, 97)
119-(414, 1088, 69, 97)
120-(483, 1088, 69, 97)
121-(552, 1088, 69, 97)
122-(621, 1088, 69, 97)
123-(690, 1088, 70, 83)
124-(760, 1088, 70, 83)
125-(830, 1088, 99, 110)
126-(0, 1198, 99, 110)
127-(99, 1198, 127, 135)
128-(226, 1198, 127, 135)
129-(353, 1198, 157, 175)
130-(510, 1198, 157, 175)
131-(667, 1198, 209, 188)
132-(0, 1386, 209, 188)
133-(209, 1386, 209, 188)
134-(418, 1386, 209, 188)
135-(627, 1386, 209, 188)
136-(0, 1574, 209, 188)
137-(209, 1574, 209, 188)
138-(418, 1574, 209, 188)
139-(627, 1574, 209, 188)
140-(0, 1762, 209, 188)
141-(209, 1762, 146, 144)
142-(355, 1762, 146, 144)
143-(501, 1762, 136, 134)
144-(637, 1762, 136, 134)
145-(773, 1762, 132, 128)
146-(0, 1950, 132, 128)
147-(132, 1950, 111, 129)
148-(243, 1950, 111, 129)
149-(354, 1950, 111, 129)
150-(465, 1950, 111, 129)
151-(576, 1950, 111, 130)
152-(687, 1950, 111, 130)
153-(798, 1950, 111, 129)
154-(909, 1950, 111, 129)
155-(0, 2080, 111, 129)
156-(111, 2080, 111, 129)
157-(222, 2080, 111, 130)
158-(333, 2080, 111, 130)
159-(444, 2080, 111, 129)
